Implemented,study-id,result-id,Coded?,Result description,Relevant claim,Claim in abstract,Research question importance,Location in paper,Region of qualitative similarity,Individual-level,Population variable,Estimation method,Design,Stata cmd,Time index,Geographic index,Other indices,Notes
1,charles-2019,gov_d_lper_emp-turnout,1,Effect of employment on Governor turnout,"find that higher local wages and employment lower turnout in elections for governor , senator , US Congress and state House of Representatives , but have no effect on presidential turnout.",1,Co-primary,"Table 4, column 2, coeff on employment","Negative, significant",,pop,2SLS,IV,ivregress,4 years,U.S. county,,
1,charles-2019,sen6_d_lper_emp-turnout,1,Effect of employment on Senate turnout,"find that higher local wages and employment lower turnout in elections for governor , senator , US Congress and state House of Representatives , but have no effect on presidential turnout.",1,Co-primary,"Table 4, column 4, coeff on employment","Negative, significant",,pop,2SLS,IV,ivregress,6 years,U.S. county,,
1,charles-2019,pres_d_lper_emp-turnout,1,Effect of employment on President turnout,"find that higher local wages and employment lower turnout in elections for governor , senator , US Congress and state House of Representatives , but have no effect on presidential turnout.",1,Co-primary,"Table 4, column 6, coeff on employment",Insignificant,,pop,2SLS,IV,ivregress,4 years,U.S. county,,
1,charles-2019,congr4_d_lper_earn-turnout,1,Effect of local wages on Congress turnout,"find that higher local wages and employment lower turnout in elections for governor , senator , US Congress and state House of Representatives , but have no effect on presidential turnout.",1,Co-primary,"Table 5, column iv, Panel A, coeff on earnings","Negative, significant",,pop,2SLS,IV,ivreg2,2 years,U.S. county,,
1,charles-2019,st4_d_lper_earn-turnout,1,Effect of local wages on State leg turnout,"find that higher local wages and employment lower turnout in elections for governor , senator , US Congress and state House of Representatives , but have no effect on presidential turnout.",1,Co-primary,"Table 5, column iv, Panel B, coeff on earnings","Negative, significant",,pop,2SLS,IV,ivregress,2 years,U.S. county,,
1,charles-2019,congr4_d_lper_emp-turnout,1,Effect of employment on Congress turnout,"find that higher local wages and employment lower turnout in elections for governor , senator , US Congress and state House of Representatives , but have no effect on presidential turnout.",1,Co-primary,"Table 5, column iv, Panel A, coeff on employment","Negative, significant",,pop,2SLS,IV,ivreg2,2 years,U.S. county,,
1,charles-2019,st4_d_lper_emp-turnout,1,Effect of employment on State leg turnout,"find that higher local wages and employment lower turnout in elections for governor , senator , US Congress and state House of Representatives , but have no effect on presidential turnout.",1,Co-primary,"Table 5, column iv, Panel B, coeff on employment","Negative, significant",,pop,2SLS,IV,ivregress,2 years,U.S. county,,
1,crane-2024,div_ret-incum_d-4,1,Effect of stock returns on incumbent advantage when stock participation is high,"""We find strong evidence that people in counties with high stock market participation are more likely to vote for the incumbent party when stock returns are high. Our estimates show that a 1 percentage point higher dividend income ratio is associated with an increase in incumbent vote share of between 1.6 and 2.2 percentage points in response to a four-year stock market return of 100 percent""",1,Primary,"Table 2, columns 3-6, coeff on div_ratio x ret","Positive, significant, between 1.6-2.2",,"pop, tot_pop",FE,Panel,reghdfe,4 years,U.S. county,Decile of dividend income,
1,crane-2024,div_ret-incum_d-5,1,Effect of stock returns on incumbent advantage when stock participation is high,"""We find strong evidence that people in counties with high stock market participation are more likely to vote for the incumbent party when stock returns are high. Our estimates show that a 1 percentage point higher dividend income ratio is associated with an increase in incumbent vote share of between 1.6 and 2.2 percentage points in response to a four-year stock market return of 100 percent""",1,Primary,"Table 2, columns 3-6, coeff on div_ratio x ret","Positive, significant, between 1.6-2.2",,"pop, tot_pop",FE,Panel,reghdfe,4 years,U.S. county,Decile of dividend income,
1,crane-2024,div_ret-incum_d-6,1,Effect of stock returns on incumbent advantage when stock participation is high,"""We find strong evidence that people in counties with high stock market participation are more likely to vote for the incumbent party when stock returns are high. Our estimates show that a 1 percentage point higher dividend income ratio is associated with an increase in incumbent vote share of between 1.6 and 2.2 percentage points in response to a four-year stock market return of 100 percent""",1,Primary,"Table 2, columns 3-6, coeff on div_ratio x ret","Positive, significant, between 1.6-2.2",,"pop, tot_pop",FE,Panel,reghdfe,4 years,U.S. county,Decile of dividend income,
1,crane-2024,div_ret-incum_d-3,1,Effect of stock returns on incumbent advantage when stock participation is high,"""We find strong evidence that people in counties with high stock market participation are more likely to vote for the incumbent party when stock returns are high. Our estimates show that a 1 percentage point higher dividend income ratio is associated with an increase in incumbent vote share of between 1.6 and 2.2 percentage points in response to a four-year stock market return of 100 percent""",1,Primary,"Table 2, columns 3-6, coeff on div_ratio x ret","Positive, significant, between 1.6-2.2",,"pop, tot_pop",FE,Panel,reghdfe,4 years,U.S. county,Decile of dividend income,
1,crane-2024,div_ret-ltw,1,Effect of stock returns on incumbent advantage when stock participation is high,"""Specifically, column 7 of Table 2 reports results using a dependent variable equal to 1 if the incumbent party lost the county in the previous election but won this election (lose to win), −1 vice versa (win to lose), and 0 otherwise. The interaction term is positive and statistically significant, indicating that when the stock market has per- formed well since the last election, the incumbent party is more likely to “win over” counties with high stock market participation""",1,Primary,"Table 2, column 7, coefficient on div_ratio x ret","Positive, significant",,"pop, tot_pop",FE,Panel,reghdfe,4 years,U.S. county,Decile of dividend income,
1,guidetti-2021,pm10-resp,1,Effect of PM10 on hosp rates for resp diseases,"First, consistent with previous research, exposure to PM10 increases pediatric hospitalization rates for respiratory diseases and does create a health shock in the SPMA",1,Co-primary,"Table 1, column 1, Panel A, coeff on PMt","Positive, significant",,population,2SLS,IV,ivreghdfe,Day,Brazilian SPMA district,,
1,guidetti-2021,pm10-epilepsy,1,Effect of PM10 on elective care procedures,"Since appendicitis and bone fracture usually need urgent treatment, they do not seem to be displaced.",0,Secondary,"Table 1, columns 1-2, Panel B, coeff on PMt","Negative, significant",,population,2SLS,IV,ivreghdfe,Day,Brazilian SPMA district,,
1,guidetti-2021,pm10-phimosis,1,Effect of PM10 on elective care procedures,"Since appendicitis and bone fracture usually need urgent treatment, they do not seem to be displaced.",0,Secondary,"Table 1, columns 1-2, Panel B, coeff on PMt","Negative, significant",,population,2SLS,IV,ivreghdfe,Day,Brazilian SPMA district,,
1,guidetti-2021,pm10-appendicitis,1,Effect of PM10 on urgent procedures,"Second, because of increased demand due to high pollution, the number of planned procedures such as video-EEG monitoring and phimosis surgery decreases in public hospitals.",1,Co-primary,"Table 1, columns 3-4, Panel B, coeff on PMt",Insignificant,,population,2SLS,IV,ivreghdfe,Day,Brazilian SPMA district,,
1,guidetti-2021,pm10-fracture,1,Effect of PM10 on urgent procedures,"Second, because of increased demand due to high pollution, the number of planned procedures such as video-EEG monitoring and phimosis surgery decreases in public hospitals.",1,Co-primary,"Table 1, columns 3-4, Panel B, coeff on PMt",Insignificant,,population,2SLS,IV,ivreghdfe,Day,Brazilian SPMA district,,
1,jack-2023,share_inperson-math,1,Effect of in-person learning on average Math score decline,"Pass rates declined from 2019 to 2021: an average of 12.8 percentage points in math and 6.8 in English language arts (ELA). Focusing on within-state, within–commuting zone variation in schooling mode, we estimate that districts with full in-person learning had significantly smaller declines (13.4 pp in math, 8.3 in ELA). The value to in-person learning was larger for districts with larger populations of Black students. (JEL H75, I12, I18, I21, I28, J15)",1,Co-primary,"Table 3, Panel A, column 2, coeff on % in-person","Positive, significant near 0.134",,EnrollmentTotal,FE,Panel,areg,Year,U.S. school district,,
1,jack-2023,share_inperson-ela,1,Effect of in-person learning on average ELA score decline,"Pass rates declined from 2019 to 2021: an average of 12.8 percentage points in math and 6.8 in English language arts (ELA). Focusing on within-state, within–commuting zone variation in schooling mode, we estimate that districts with full in-person learning had significantly smaller declines (13.4 pp in math, 8.3 in ELA). The value to in-person learning was larger for districts with larger populations of Black students. (JEL H75, I12, I18, I21, I28, J15)",1,Co-primary,"Table 3, Panel A, column 5, coeff on % in-person","Positive, significant near 0.083",,EnrollmentTotal,FE,Panel,areg,Year,U.S. school district,,
1,jack-2023,share_hybrid-math,1,Effect of hybrid learning on average Math score decline,Offering a hybrid model rather than a fully virtual approach reduced these losses by 7 percentage points in math and 5–6 in ELA.,0,Secondary,"Table 3, Panel A, column 2, coeff on % hybrid","Positive, significant near 7",,EnrollmentTotal,FE,Panel,areg,Year,U.S. school district,,
1,jack-2023,share_hybrid-ela,1,Effect of hybrid learning on average ELA score decline,Offering a hybrid model rather than a fully virtual approach reduced these losses by 7 percentage points in math and 5–6 in ELA.,0,Secondary,"Table 3, Panel A, column 5, coeff on % hybrid","Positive, significant between 5-6",,EnrollmentTotal,FE,Panel,areg,Year,U.S. school district,,
1,jack-2023,black_yr_ip-math,1,Effect of in-person learning x share Black students on average Math score decline,"Pass rates declined from 2019 to 2021: an average of 12.8 percentage points in math and 6.8 in English language arts (ELA). Focusing on within-state, within–commuting zone variation in schooling mode, we estimate that districts with full in-person learning had significantly smaller declines (13.4 pp in math, 8.3 in ELA). The value to in-person learning was larger for districts with larger populations of Black students. (JEL H75, I12, I18, I21, I28, J15)",1,Secondary,"Table 3, Panel B, column 1, coeff on % Black x % in-person x 2021","Positive, significant",,EnrollmentTotal,FE,Panel,areg,Year,U.S. school district,,
1,jack-2023,hisp_yr_ip-math,1,Effect of in-person learning x share Hispanic students on average Math score decline,"In constrast, there are no significant interactions with the Hispanic student share for math outcomes and no significant interactions across demographics for ELA testing.",0,Secondary,"Table 3, Panel B, column 2, coeff on % Hispanic x % in-person x 2021",Not significant,,EnrollmentTotal,FE,Panel,areg,Year,U.S. school district,,
1,jack-2023,black_yr_ip-ela,1,Effect of in-person learning x share Black students on average ELA score decline,"In constrast, there are no significant interactions with the Hispanic student share for math outcomes and no significant interactions across demographics for ELA testing.",0,Secondary,"Table 3, Panel B, column 4, coeff on % Black x % in-person x 2021",Not significant,,EnrollmentTotal,FE,Panel,areg,Year,U.S. school district,,
1,jack-2023,hisp_yr_ip-ela,1,Effect of in-person learning x share Hispanic students on average ELA score decline,"In constrast, there are no significant interactions with the Hispanic student share for math outcomes and no significant interactions across demographics for ELA testing.",0,Secondary,"Table 3, Panel B, column 5, coeff on % Hispanic x % in-person x 2021",Not significant,,EnrollmentTotal,FE,Panel,areg,Year,U.S. school district,,
1,williams-2022,lynchcapitawhite-Whiterate_regvoters,1,Effect of White lynching rate on White voter registration,,0,Secondary,"Table 2, column 4, coeff on White lynching rate",Not significant,,"Total_POP_2010, White_POP",FE,Panel,regress,4 years,U.S. county,,
1,williams-2022,lynchcapitamob-Blackrate_regvoters,1,Effect of Black lynching rate on Black voter registration,"Using county-level voter registration data, I show that Blacks who reside in southern counties that experienced a relatively higher number of historical lynchings have lower voter registration rates today.",1,Co-primary,"Table 2, column 1, coeff on Black lynching rate","Negative, significant",,"Total_POP_2010, Black_POP",FE,Panel,regress,4 years,U.S. county,,
1,williams-2022,lynchcapitamob-Blackrate_regvoters2,1,Effect of Black lynching rate on Black voter registration,"The final column of Table 5 presents the specification, which includes all potential confounders, historical controls, and state fixed effects. The results show that for one additional lynching per 10,000 Black population in 1900, the voter registration rate of Blacks decreases by 0.34 percentage points and this result is significant at the 5 percent level.",1,Co-primary,"Table 5, column 5, coeff on Black lynching rate","Negative, significant",,"Total_POP_2010, Black_POP",FE,Panel,regress,4 years,U.S. county,,
1,wilson-2012,ann_lessDOL_mill_cap-ivreg_T_Emp_Rate_Ann__cer,1,Effect of ARRA announcements on employment increase,"Cross-state IV results indicate that ARRA spending in its first year yielded about eight jobs per million dollars spent, or $125,000 per job.",1,Co-primary,"Table 5, column 2, coeff on announcements","Positive, significant, close to 8",,StatePopulation,2SLS,IV,ivregress,Month,U.S. state,,
1,wilson-2012,pay_lessDOL_mill_cap-ivreg_T_Emp_Rate_Pay__cer,1,Effect of ARRA payments on employment increase,"Cross-state IV results indicate that ARRA spending in its first year yielded about eight jobs per million dollars spent, or $125,000 per job.",1,Co-primary,"Table 5, column 6, coeff on payments","Positive, significant",,StatePopulation,2SLS,IV,ivregress,Month,U.S. state,,
1,dieterle-2020,ln_ui-ln_unemp,1,Effect of UI extension on unemployment (no distance control),"These results suggest much smaller effects than previous studies, casting doubt on the applicability of border-based designs.",1,Co-primary,"Table 1, column 1, Panel A, coeff on log UR","Positive, significant",,"emppop, unemp",FE,Boundary,areg,Quarter,U.S. county,,
1,dieterle-2020,ln_ui_res_1-ln_unemp,1,Effect of UI extension on unemployment (distance control),"These results suggest much smaller effects than previous studies, casting doubt on the applicability of border-based designs.",1,Primary,"Table 1, column 2, Panel A, coeff on log UR","Not significant, smaller than column 1",,"emppop, unemp",FE,Boundary,areg,Quarter,U.S. county,,
1,dieterle-2020,ui_avail_yr_avg_diff-work_neigh_frac,0,Effective of relative UI difference on fraction working across border,"The analysis then shows substantial spillover effects of UI benefit duration on across-border work patterns, consistent with increased tightness in high-benefit states and providing evidence against a dominant vacancy reduction response to UI extensions.",1,Secondary,"Table 5, column 3, coeff on relative UI diff","Negative, significant",,"emppop, unemp",FE,Boundary,xtreg,Year,U.S. census block,,Not enough data to noise
1,martinez-2014,kelurDum-GolkarFirst,1,Effect of appointed village head on support for incumbent,"I develop a model that predicts that appointed officials have stronger incentives to influence voters during national level elections because of their career concerns... First, I find that Soeharto’s party was, on average, 5.5 percentage points more likely to win in villages that had appointed village heads, relative to villages that had elected village heads.",1,Co-primary,"Table 2, Panel A, column 5, coeff on kelurahan dummy","Positive, significant",,"lpopulation_1996, lpopulation_1996_2, lpopulation_1996_3, lpopulation_1996_4",OLS,Panel,reg,,Indonesian village,,
1,martinez-2014,kelurDum-PDIFirst,1,Effect of appointed village head on support for reformist party,"More important, this effect is reversed in districts where the main reformist party won by a large margin. In those districts, the reformist party is 3.7 percentage points more likely to win in villages with an appointed village head, than in villages with an elected village head.",1,Co-primary,"Table 3, Panel B, column 2, coeff on kelurahan dummy","Positive, significant",,"lpopulation_1996, lpopulation_1996_2, lpopulation_1996_3, lpopulation_1996_4",OLS,Panel,reg,,Indonesian village,,
1,dias-2023,glyph_soy_upstream-IMR,1,Effect of upstream glyphosate use on infant mortality,"according to our preferred specification, the average increase in glyphosate use in the sample during 2000–10 period led to an increase of 5% of the average in infant mortality rate.",1,Primary,"Table 2, column 9, coeff on Glpyhosate upstream","Positive, significant",,population,2SLS,IV,xtivreg2,Year,Brazilian municipality,,
1,kofi-2018,earnings-SSDI,1,Effect of earnings on SSDI disability payments,"Our estimated elasticity for SSDI receipt 
with respect to earnings of −0.29 is surprisingly similar to that found in previous work.",1,Co-primary,"Table 1, column 2, coeff ""Economic Condition"", Panel A","Negative, significant, within a similar magnitude",,pop,TSLS,Panel,ivreg,Year,U.S. county,,
1,kofi-2018,earnings-SSI,1,Effect of earnings on SSI disability payments,"Our preferred estimate for the SSI elasticity of −0.16 is smaller than previous findings, but we show that most of the difference is explained by changes in the SSI program",1,Co-primary,"Table 1, column 2, coeff ""Economic Condition"", Panel B","Negative, significant, within a similar magnitude",,pop,TSLS,Panel,ivreg,Year,U.S. county,,
1,kofi-2018,employment-SSDI,1,Effect of employment on SSDI disability payments,"Our TSLS benefit payment elasticity estimates for employment (column (4)) are more than twice as large as the earnings elasticities (column (2)), indicating that a 10% reduction in employment leads to a much larger disability response than a 10% reduction in earnings",0,Co-primary,"Table 1, column 4, coeff ""Economic Condition"", Panel A",Much larger in magnitude than Column 2 and significant,,pop,TSLS,Panel,ivreg,Year,U.S. county,,
1,kofi-2018,employment-SSI,1,Effect of employment on SSI disability payments,"Our TSLS benefit payment elasticity estimates for employment (column (4)) are more than twice as large as the earnings elasticities (column (2)), indicating that a 10% reduction in employment leads to a much larger disability response than a 10% reduction in earnings",0,Co-primary,"Table 1, column 4, coeff ""Economic Condition"", Panel B",Much larger in magnitude than Column 2 and significant,,pop,TSLS,Panel,ivreg,Year,U.S. county,,
1,bernecker-2021,support-experiment,1,Effect of electoral support last gubernatorial election on the number of policy experiments,governors with strong electoral support are less likely to experiment than governors with little support,1,Co-primary,"Table 2, column 2, coeff of Electoral support last gubernatorial election on the number of policy experiments","Negative, significant",,pop_1000,FE,Panel,areg ,Year,U.S. state,,
1,bernecker-2021,lameduck-experiment,1,"Effect of electoral support last gubernatorial election on the number of policy experiments, allow the effect of the vote margin to differ for governors who cannot be reelected (“lame ducks”)",governors who cannot be reelected actually experiment more than governors striving for reelection.,1,Co-primary,"Table 2, column 4, coeff of Electoral support last gubernatorial election on the number of policy experiments, allow the effect of the vote margin to differ for governors who cannot be reelected (“lame ducks”)","Negative, significant",,pop_1000,FE,Panel,areg ,Year,U.S. state,,
1,boulware-2019,unemp-dis-overall,1,Falling unemployment is associated with a decrease in the number of charges of discrimination filed.,"the panel analysis in section II reveals a strong countercyclical pattern in discrimination, with falling unemployment associated with a decrease in the number of charges filed.",1,Co-Primary,"Table 1, column 1, coeff on overall employment rates ","positive, significant",,"lf7,lf13",FE,Panel,xtreg,Year,U.S. state,Race,
1,boulware-2019,unemp-dis-black,1,The number of charges filed are disproportionately responsive to the Black/African-American unemployment rates.,"Moreover, discrimination charges are disproportionately responsive to the Black/African-American (AA) and Hispanic/Latino-specific unemployment rates.",1,Secondary,"Table 1, column 3, coeff for Black","positive, significant",,"lf7,lf14",FE,Panel,xtreg,Year,U.S. state,Race,
1,boulware-2019,unemp-dis-hisp,1,The number of charges filed are disproportionately responsive to the Hispanic/Latino unemployment rates.,"Moreover, discrimination charges are disproportionately responsive to the Black/African-American (AA) and Hispanic/Latino-specific unemployment rates.",1,Secondary,"Table 1, column 4, coeff for Hispanic","positive, significant",,"lf7,lf15",FE,Panel,xtreg,Year,U.S. state,Race,
1,boulware-2019,blueshare-dis,1,Effect of blue collar share on discrimination charges,"In the cross-sectional analysis of section III, we find that occupational mix and the demographic composition of the labor force explain most of the variation across states in the discrimination charge rate.",1,Secondary,"Table 2, column 6, row 1","positive, significant",,"lf7,lf16",FE,cross-sectional,regress,Year,U.S. state,,
1,boulware-2019,blackshare-dis,1,Effect of Black share on discrimination charges,"In the cross-sectional analysis of section III, we find that occupational mix and the demographic composition of the labor force explain most of the variation across states in the discrimination charge rate.",1,Secondary,"Table 2, column 1, row 1","negative, significant",,"lf7,lf17",FE,cross-sectional,regress,Year,U.S. state,,
1,boulware-2019,hispshare-dis,1,Effect of Hispanic share on discrimination charges,"In the cross-sectional analysis of section III, we find that occupational mix and the demographic composition of the labor force explain most of the variation across states in the discrimination charge rate.",1,Secondary,"Table 2, column 2, row 1","negative, significant",,"lf7,lf18",FE,cross-sectional,regress,Year,U.S. state,,
1,iyer-2012,postwres-crime,1,Effect of female representation in local government on crimes against women in India,We found that an increase in female representation in local government induces a large and significant rise in documented crimes against women in India,1,Co-Primary,"Table 3, column 6, coeff for Total crime against women","positive, significant",,ipop,FE,Panel,areg,Year,Indian states,,
1,iyer-2012,postwres-murder,1,Effect of women’s political reservation implement on overall murder rate,"Our evidence suggests that this increase is good news, driven primarily by greater reporting rather than greater incidence of such crimes",1,Co-Primary,"Table 5, column 1, Panel A, coeff for Women's reservation implemented",Insignificant,,ipop,FE,Panel,areg,Year,Indian states,,
1,iyer-2012,postwres-suicide,1,Effect of women’s political reservation implement on women suicide cases,We also find no evidence of an increase in the incidence of female suicides following women’s greater political role,1,Secondary,"Table 5, column 6, Panel A, coeff for Women's reservation implemented",insignificant,,ipop,FE,Panel,areg,Year,Indian states,,
1,iyer-2012,reswomen-crime,0,Effect of women-reserved villages on women's report as being a victim of any crime,We find no evidence for actual incidence of crimes against women to be higher in villages where the council head position is reserved for a female leader,1,Secondary,"Table 6, column 1, coeff for Village council head position reserved for women in 2005",insignificant,,,,,,,,,Individual-level only
1,iyer-2012,reswomen-report,0,Effect of women-reserved villages on women's willingness to report crimes,We find that women in villages where the village council head position is reserved are significantly more likely to say that they will report crimes to the police,1,Secondary,"Table 7, column 1, coeff for Village council head position reserved for women in 2005","positive, significant",,,,,,,,,Individual-level only
1,iyer-2012,postwres-mencrime,1,Effect of female representation in local government on crimes against men,"In contrast, we find no increase in crimes against men or in gender-neutral crimes.",1,Secondary,"Table 4, column 4, coeff for Kidnapping of men and boys per 1,000 men",Insignificant,,ipop,FE,Panel,areg,Year,Indian states,,
1,mocan-2010,recession_property,1,Impact of Recessions on Property Crime Rate,"use state-level panel data to document the previously unnoticed asymmetric response of crime to
 changes in the unemployment rate",1,Co-Primary,"Table 1, column 2, coeff of recession","positive, significant, greater than coeff on recovery",,pop,OLS,Panel,regress,Year,U.S. state,"Race, age",
1,mocan-2010,recovery_property,1,Impact of Recovery on Property Crime Rate,"use state-level panel data to document the previously unnoticed asymmetric response of crime to
 changes in the unemployment rate",1,Co-Primary,"Table 1, column 2, coeff of recovery","positive, significant, less than coeff on recession",,pop,OLS,Panel,regress,Year,U.S. state,"Race, age",
1,mocan-2010,recession_violent,1,Impact of Recessions on Violent Crime Rate,"use state-level panel data to document the previously unnoticed asymmetric response of crime to
 changes in the unemployment rate",1,Co-Primary,"Table 1, column 4, coeff of recession",insignificant,,pop,OLS,Panel,regress,Year,U.S. state,"Race, age",
1,mocan-2010,recovery_violent,1,Impact of Recovery on Violent Crime Rate,"use state-level panel data to document the previously unnoticed asymmetric response of crime to
 changes in the unemployment rate",1,Co-Primary,"Table 1, column 4, coeff of recovery",insignificant,,pop,OLS,Panel,regress,Year,U.S. state,"Race, age",
1,buonanno-2013,pardon_crime,1,Impact of Mass Release on Crime Rate,We test for a discontinuous break in national crime rates corresponding to the mass release.. All three sources of variation yield substantial incapacitation effect estimates and suggest that the crime-preventing effects of incarceration diminish with increases in the incarceration rate.,1,Co-Primary,"Table 2, columns 4, Panel A, coeff of Post-pardon","positive, significant",,population,FE,RD,arima,month,Italian province,,"From the table 2, authors control both month and year effect in column 4"
1,buonanno-2013,pardon_incarceration,1,Impact of Mass Release on Incarceration rate,We also test for the effect of the return of the incarceration rate to its predicted steady state level on national crime rates... All three sources of variation yield substantial incapacitation effect estimates and suggest that the crime-preventing effects of incarceration diminish with increases in the incarceration rate.,1,Co-Primary,"Table 2, columns 4, Panel B, coeff of Post-pardon","negative, significant",,population,FE ,RD,arima,month,Italian province,,"From the table 2, authorscontrol both month and year effect in column 4"
1,buonanno-2013,parson_diffincrime,1,Effect of pardoned inmates on change in crime rate,"Finally, we exploit regional variation in prison releases based on the province of residence of pardoned inmates. All three sources of variation yield substantial incapacitation effect estimates and suggest that the crime-preventing effects of incarceration diminish with increases in the incarceration rate.",1,Co-Primary,"Table 6, column 2, coeff on Total Crime","positive, significant",,population,OLS,Panel,reg,month,Italian province,,
1,buonanno-2013,parson_reverseinca,1,Effect of pardon rate on reverse incapacitation,"Finally, we exploit regional variation in prison releases based on the province of residence of pardoned inmates. All three sources of variation yield substantial incapacitation effect estimates and suggest that the crime-preventing effects of incarceration diminish with increases in the incarceration rate.",1,Secondary,"Table 7, column 2, coeff on pardon rate","positive, significant",,population,OLS,Panel,reg,month,Italian province,,
1,perez-2018,unemp-medicaid,1,Impact of unemployment on Medicaid generosity,"Instead, we find a counter-cyclical Medicaid effect with generosity increasing with increases in the unemployment rate.",1,Co-Primary,"Table 3, column 1, coeff of unemployment","positive, significant",,NA,FE ,Panel,xtreg,,U.S. state,,
1,perez-2018,unemp-medicaidandrecession,1,Impact of Great Recession on changes in Medicaid eligibility,"We find no effect of the downturn on the share with simulated eligibility and while we find a positive relationship between unemployment and Medicaid generosity before, during, and after the recession, the coefficients on %Unemployment, Recession × %Unemployment, and Post-Recession × %Unemployment were not statistically significant at the 5 percent level.",0,Secondary,"Table 3, column 2, coeff of unemployment",not statistically significant at the 5 percent level,,NA,DID,Panel,xtreg,,U.S. state,,
1,perez-2018,interact_unemprecess,1,Impact of Great Recession on changes in Medicaid eligibility,"We find no effect of the downturn on the share with simulated eligibility and while we find a positive relationship between unemployment and Medicaid generosity before, during, and after the recession, the coefficients on %Unemployment, Recession × %Unemployment, and Post-Recession × %Unemployment were not statistically significant at the 5 percent level.",0,Secondary,"Table 3, column 2, coeff of unemployment * recession",not statistically significant at the 5 percent level,,NA,DID,Panel,xtreg,,U.S. state,,
1,perez-2018,interact_unemppost,1,Impact of Great Recession on changes in Medicaid eligibility,"We find no effect of the downturn on the share with simulated eligibility and while we find a positive relationship between unemployment and Medicaid generosity before, during, and after the recession, the coefficients on %Unemployment, Recession × %Unemployment, and Post-Recession × %Unemployment were not statistically significant at the 5 percent level.",0,Secondary,"Table 3, column 2, coeff of unemployment * post - recession",not statistically significant at the 5 percent level,,NA,DID,Panel,xtreg,,U.S. state,,
